"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5211","Авторизация на странице корзины","ui","Tue Jul 15 17:07:33 GMT 2025","passed","Tue Jul 15 17:07:38 GMT 2025","Авторизация","","",""
"","13","Создание задания через метод PUT","api","Tue Jul 15 17:07:57 GMT 2025","passed","Tue Jul 15 17:07:57 GMT 2025","Создание заданий","","",""
"","11989","Удаление товара из корзины","ui","Tue Jul 15 17:07:38 GMT 2025","passed","Tue Jul 15 17:07:50 GMT 2025","Основное управление корзиной","","",""
"","14","Создание задания c длинным заголовком","api","Tue Jul 15 17:07:57 GMT 2025","passed","Tue Jul 15 17:07:57 GMT 2025","Создание заданий","","",""
"","2788","Проверка сортировки по цене","ui","Tue Jul 15 17:07:53 GMT 2025","passed","Tue Jul 15 17:07:56 GMT 2025","Сортировка товаров на главной странице","","",""
"","20","Создание задания c невалидным статусом","api","Tue Jul 15 17:07:57 GMT 2025","passed","Tue Jul 15 17:07:57 GMT 2025","Создание заданий","","",""
"","18","Создание задания c максимально допустимой длинной заголовка и описания","api","Tue Jul 15 17:07:57 GMT 2025","passed","Tue Jul 15 17:07:57 GMT 2025","Создание заданий","","",""
"","17","Создание задания c несуществующим полем","api","Tue Jul 15 17:07:57 GMT 2025","passed","Tue Jul 15 17:07:57 GMT 2025","Создание заданий","","",""
"","7876","Добавление товара в корзину","ui","Tue Jul 15 17:07:32 GMT 2025","passed","Tue Jul 15 17:07:40 GMT 2025","Основное управление корзиной","","",""
"","22","Создание задания c длинным описанием","api","Tue Jul 15 17:07:57 GMT 2025","passed","Tue Jul 15 17:07:57 GMT 2025","Создание заданий","","",""
"","11398","Отображение 50 товаров на главной странице","ui","Tue Jul 15 17:07:50 GMT 2025","passed","Tue Jul 15 17:08:01 GMT 2025","Сортировка товаров на главной странице","","",""
"","27","Создание задания","api","Tue Jul 15 17:07:57 GMT 2025","passed","Tue Jul 15 17:07:57 GMT 2025","Создание заданий","","",""
"","12534","Отображение 10 товаров на главной странице","ui","Tue Jul 15 17:07:41 GMT 2025","passed","Tue Jul 15 17:07:53 GMT 2025","Сортировка товаров на главной странице","","",""
