"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8876","Добавление товара в корзину","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:41 GMT 2025","","e2e/cart.spec.js","",""
"","6553","Отображение 50 товаров на главной странице","chromium","Mon Jul 07 19:30:51 GMT 2025","failed","Mon Jul 07 19:30:58 GMT 2025","","e2e/sortingProduct.spec.js","",""
"","7031","Отображение 10 товаров на главной странице","chromium","Mon Jul 07 19:30:43 GMT 2025","failed","Mon Jul 07 19:30:50 GMT 2025","","e2e/sortingProduct.spec.js","",""
"","52","Создание задания c максимально допустимой длинной заголовка и описания","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","Создание заданий","api/challenges.spec.js","",""
"","18201","Удаление товара из корзины","chromium","Mon Jul 07 19:30:32 GMT 2025","failed","Mon Jul 07 19:30:51 GMT 2025","","e2e/cart.spec.js","",""
"","47","Создание задания c невалидным статусом","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","Создание заданий","api/challenges.spec.js","",""
"","57","Создание задания","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","Создание заданий","api/challenges.spec.js","",""
"","65","Создание задания c длинным описанием","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","Создание заданий","api/challenges.spec.js","",""
"","46","Создание задания c длинным заголовком","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","Создание заданий","api/challenges.spec.js","",""
"","29385","Проверка сортировки по цене","chromium","Mon Jul 07 19:30:53 GMT 2025","failed","Mon Jul 07 19:31:23 GMT 2025","","e2e/sortingProduct.spec.js","",""
"","46","Создание задания c несуществующим полем","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","Создание заданий","api/challenges.spec.js","",""
"","47","Создание задания через метод PUT","chromium","Mon Jul 07 19:30:32 GMT 2025","passed","Mon Jul 07 19:30:32 GMT 2025","Создание заданий","api/challenges.spec.js","",""
