"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Создание задания через метод PUT","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:28 GMT 2025","Создание заданий","","",""
"","5213","Авторизация на странице корзины","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:33 GMT 2025","Авторизация","","",""
"","28","Создание задания c длинным описанием","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:28 GMT 2025","Создание заданий","","",""
"","25","Создание задания","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:28 GMT 2025","Создание заданий","","",""
"","13597","Удаление товара из корзины","chromium","Thu Jul 10 19:21:36 GMT 2025","passed","Thu Jul 10 19:21:50 GMT 2025","Основное управление корзиной","","",""
"","17","Создание задания c несуществующим полем","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:28 GMT 2025","Создание заданий","","",""
"","17","Создание задания c невалидным статусом","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:28 GMT 2025","Создание заданий","","",""
"","20","Создание задания c максимально допустимой длинной заголовка и описания","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:28 GMT 2025","Создание заданий","","",""
"","11449","Добавление товара в корзину","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:40 GMT 2025","Основное управление корзиной","","",""
"","16","Создание задания c длинным заголовком","chromium","Thu Jul 10 19:21:28 GMT 2025","passed","Thu Jul 10 19:21:28 GMT 2025","Создание заданий","","",""
"","3471","Проверка сортировки по цене","chromium","Thu Jul 10 19:21:54 GMT 2025","passed","Thu Jul 10 19:21:58 GMT 2025","Сортировка товаров на главной странице","","",""
"","11643","Отображение 10 товаров на главной странице","chromium","Thu Jul 10 19:21:43 GMT 2025","passed","Thu Jul 10 19:21:54 GMT 2025","Сортировка товаров на главной странице","","",""
"","11593","Отображение 50 товаров на главной странице","chromium","Thu Jul 10 19:21:50 GMT 2025","passed","Thu Jul 10 19:22:02 GMT 2025","Сортировка товаров на главной странице","","",""
